ad_date,campaign_name,total_spend,total_impressions,total_clicks,total_value,cpc,cpm,ctr,romi
10/05/2022,Expansion,1300.33,34105,312,1825.94,4.17,38.13,0.009148219,1.404212777
10/05/2022,Hobbies,114.88,72135,134,138.86,0.86,1.59,0.001857628,1.208739554
09/05/2022,Expansion,268.45,13029,61,373,4.4,20.6,0.004681864,1.389458
09/05/2022,Hobbies,92.56,108103,436,100.64,0.21,0.86,0.004033191,1.087294728
08/05/2022,Expansion,198.7,16562,134,216.45,1.48,12,0.00809081,1.089330649
08/05/2022,Hobbies,83.19,112231,563,115.7,0.15,0.74,0.005016439,1.390792163
07/05/2022,Expansion,376.44,35865,108,367.2,3.49,10.5,0.003011292,0.975454256
07/05/2022,Hobbies,125.72,173772,707,120.7,0.18,0.72,0.00406855,0.960069997
06/05/2022,Expansion,342.02,22643,84,596.74,4.07,15.1,0.003709756,1.744751769
06/05/2022,Hobbies,184.3,107709,794,183.88,0.23,1.71,0.007371715,0.997721107
05/05/2022,Expansion,291.15,8777,58,421.52,5.02,33.17,0.00660818,1.44777606
05/05/2022,Hobbies,104.41,49500,274,136.75,0.38,2.11,0.005535354,1.309740446
04/05/2022,Expansion,120.13,37961,86,157.29,1.4,3.16,0.002265483,1.309331557
04/05/2022,Hobbies,131.06,63862,295,109.89,0.44,2.05,0.004619335,0.838470929
03/05/2022,Expansion,203.46,52071,44,178.64,4.62,3.91,0.000845,0.87801042
03/05/2022,Hobbies,163.62,155955,934,195.02,0.18,1.05,0.005988907,1.19190808
02/05/2022,Expansion,169.73,19490,66,185.16,2.57,8.71,0.003386352,1.090909091
02/05/2022,Hobbies,262.51,68225,630,320.21,0.42,3.85,0.009234152,1.21980115
01/05/2022,Expansion,324.61,22457,104,362.35,3.12,14.45,0.004631073,1.116262592
01/05/2022,Hobbies,96.26,118651,462,86.81,0.21,0.81,0.003893772,0.901828381
30/04/2022,Expansion,499.48,36688,24,707.89,20.81,13.61,0.000654165,1.417253944
30/04/2022,Hobbies,204.46,87965,640,179.4,0.32,2.32,0.007275621,0.877433239
29/04/2022,Hobbies,63.74,57398,423,62.48,0.15,1.11,0.007369595,0.980232193
28/04/2022,Expansion,432.48,15670,98,454.01,4.41,27.6,0.006253989,1.049782649
28/04/2022,Hobbies,157.51,269617,682,215.54,0.23,0.58,0.002529514,1.368421053
27/04/2022,Expansion,282.98,5700,129,377.3,2.19,49.65,0.022631579,1.333309775
27/04/2022,Hobbies,220.83,148837,442,245.63,0.5,1.48,0.002969692,1.112303582
26/04/2022,Expansion,284.46,16877,86,270.67,3.31,16.85,0.005095692,0.951522182
26/04/2022,Hobbies,180.77,171269,981,196.4,0.18,1.06,0.005727832,1.086463462
25/04/2022,Expansion,101.82,38725,96,146.45,1.06,2.63,0.002479019,1.43832253
25/04/2022,Hobbies,110.67,119040,554,115.58,0.2,0.93,0.004653898,1.044366134
24/04/2022,Expansion,272.81,17796,163,281.36,1.67,15.33,0.009159362,1.031340493
24/04/2022,Hobbies,156.08,161566,822,176.8,0.19,0.97,0.005087704,1.132752435
23/04/2022,Expansion,311.3,17140,55,349.43,5.66,18.16,0.003208868,1.122486348
23/04/2022,Hobbies,112.58,95063,690,128.91,0.16,1.18,0.007258344,1.145052407
22/04/2022,Expansion,446.55,64637,600,405.19,0.74,6.91,0.009282609,0.907378793
22/04/2022,Hobbies,136.08,127701,374,155.17,0.36,1.07,0.002928716,1.140285126
21/04/2022,Expansion,1111.08,55872,934,1246.74,1.19,19.89,0.016716781,1.122097419
21/04/2022,Hobbies,228.34,184574,1068,301.06,0.21,1.24,0.005786297,1.318472453
20/04/2022,Expansion,956.07,76787,1174,1152.26,0.81,12.45,0.015289046,1.20520464
20/04/2022,Hobbies,221.82,106220,807,266.77,0.27,2.09,0.007597439,1.202641782
19/04/2022,Expansion,960.15,37591,597,1310.7,1.61,25.54,0.015881461,1.365099203
19/04/2022,Hobbies,38.91,28678,158,44.04,0.25,1.36,0.00550945,1.131842714
18/04/2022,Expansion,849.14,78379,1221,882.52,0.7,10.83,0.015578152,1.039310361
18/04/2022,Hobbies,128.85,55431,492,176.13,0.26,2.32,0.0088759,1.3669383
17/04/2022,Expansion,1833.9,80475,959,2562.6,1.91,22.79,0.011916744,1.39734991
17/04/2022,Hobbies,191.79,115102,967,254.52,0.2,1.67,0.008401244,1.32707649
16/04/2022,Expansion,1184.3,69665,1192,1431.12,0.99,17,0.017110457,1.208410031
16/04/2022,Hobbies,35.91,97320,769,54.17,0.05,0.37,0.007901767,1.508493456
15/04/2022,Expansion,1581.62,96723,867,1561.98,1.82,16.35,0.008963742,0.987582352
15/04/2022,Hobbies,79.65,65566,509,113.88,0.16,1.21,0.00776317,1.429755179
14/04/2022,Expansion,1082.51,56091,744,1630.58,1.45,19.3,0.01326416,1.506295554
14/04/2022,Hobbies,97.39,127029,1021,157.72,0.1,0.77,0.008037535,1.619468118
13/04/2022,Expansion,1623.12,57339,713,1875.3,2.28,28.31,0.012434817,1.15536744
13/04/2022,Hobbies,101.45,82465,973,113,0.1,1.23,0.011798945,1.113849187
12/04/2022,Expansion,1438.91,74590,1077,1573.31,1.34,19.29,0.014438933,1.093404035
12/04/2022,Hobbies,106.5,78398,808,150.09,0.13,1.36,0.010306385,1.409295775
11/04/2022,Expansion,1280.43,57557,904,1905.38,1.42,22.25,0.01570617,1.488078224
11/04/2022,Hobbies,140.26,168363,1313,178.02,0.11,0.83,0.007798626,1.269214316
10/04/2022,Expansion,1275.67,50639,1143,1176.94,1.12,25.19,0.022571536,0.922605376
10/04/2022,Hobbies,113.88,64729,465,153.06,0.24,1.76,0.007183797,1.344046365
09/04/2022,Expansion,2035.49,72678,967,2439.9,2.1,28.01,0.013305264,1.198679433
09/04/2022,Hobbies,79.39,173218,1034,90.6,0.08,0.46,0.005969357,1.141201663
08/04/2022,Expansion,1609.16,49828,791,1818.14,2.03,32.29,0.015874609,1.129869
08/04/2022,Hobbies,107.83,181104,1228,106.18,0.09,0.6,0.006780634,0.984698136
07/04/2022,Expansion,680.89,39477,492,887.42,1.38,17.25,0.012462953,1.303323591
07/04/2022,Hobbies,139.16,97600,1258,163.27,0.11,1.43,0.012889344,1.173253809
06/04/2022,Expansion,1223.76,71654,1202,1296.07,1.02,17.08,0.016775058,1.059088383
06/04/2022,Hobbies,64.13,92767,606,82.11,0.11,0.69,0.006532495,1.280368002
05/04/2022,Expansion,1070.84,76889,1009,1302.13,1.06,13.93,0.013122813,1.215989317
05/04/2022,Hobbies,91.59,55645,848,109.17,0.11,1.65,0.015239464,1.191942352
04/04/2022,Expansion,1446.74,117205,1525,1957.16,0.95,12.34,0.01301139,1.352807001
04/04/2022,Hobbies,92.09,47926,1328,145.16,0.07,1.92,0.027709385,1.57628407
03/04/2022,Expansion,1433.18,103180,584,2292.26,2.45,13.89,0.005660012,1.599422264
03/04/2022,Hobbies,27.49,54823,449,25.71,0.06,0.5,0.008189993,0.935249182
02/04/2022,Expansion,1442.49,56355,945,1641.76,1.53,25.6,0.016768698,1.138143072
02/04/2022,Hobbies,13.4,34583,863,16.39,0.02,0.39,0.024954457,1.223134328
01/04/2022,Expansion,724.21,61405,941,726,0.77,11.79,0.015324485,1.002471659
01/04/2022,Hobbies,78.25,74232,440,90.68,0.18,1.05,0.005927363,1.15884984
31/03/2022,Expansion,1364.58,50494,1008,1843.11,1.35,27.02,0.019962768,1.35067933
31/03/2022,Hobbies,88.91,80349,1132,99.71,0.08,1.11,0.014088539,1.121471151
30/03/2022,Expansion,916.7,78864,846,1041.27,1.08,11.62,0.010727328,1.135889604
30/03/2022,Hobbies,46.63,84493,767,54.51,0.06,0.55,0.009077675,1.168989921
29/03/2022,Expansion,1318.77,27820,1245,1898.56,1.06,47.4,0.044751977,1.439644517
29/03/2022,Hobbies,49.63,60053,1032,59.76,0.05,0.83,0.01718482,1.204110417
28/03/2022,Expansion,1429.16,55408,1102,2096.33,1.3,25.79,0.019888825,1.466826667
28/03/2022,Hobbies,70.35,101411,785,81.22,0.09,0.69,0.007740778,1.154513149
27/03/2022,Expansion,1176.99,74563,989,1327.82,1.19,15.79,0.013263951,1.128148922
27/03/2022,Hobbies,38.08,78996,1308,43.58,0.03,0.48,0.0165578,1.144432773
26/03/2022,Expansion,474.85,45340,342,519.71,1.39,10.47,0.007543008,1.094471939
26/03/2022,Hobbies,27.6,34802,623,28.96,0.04,0.79,0.01790127,1.049275362
25/03/2022,Expansion,1139.66,39671,1304,1125.99,0.87,28.73,0.032870359,0.988005195
24/03/2022,Expansion,527.6,15556,407,750.98,1.3,33.92,0.026163538,1.423388931
23/03/2022,Expansion,896.12,62574,414,1273.96,2.16,14.32,0.006616166,1.421639959
22/03/2022,Expansion,769.08,63781,385,1054.61,2,12.06,0.00603628,1.371261767
21/03/2022,Expansion,552.07,65632,824,697.34,0.67,8.41,0.012554851,1.263136921
20/03/2022,Expansion,510.77,86896,761,742.84,0.67,5.88,0.008757595,1.454353231
19/03/2022,Expansion,383.39,29358,119,525.84,3.22,13.06,0.00405341,1.37155377
24/02/2022,Trendy,7.34,6302,10,11.57,0.73,1.16,0.001586798,1.576294278
23/02/2022,Trendy,34,43659,182,80.69,0.19,0.78,0.004168671,2.373235294
22/02/2022,Trendy,9.57,30855,101,11.23,0.09,0.31,0.003273375,1.173458725
21/02/2022,Trendy,6.14,25970,99,12.23,0.06,0.24,0.003812091,1.991856678
20/02/2022,Trendy,10.33,20064,142,17.37,0.07,0.51,0.007077352,1.681510165
19/02/2022,Trendy,6.42,8206,133,7.02,0.05,0.78,0.016207653,1.093457944
18/02/2022,Trendy,17.15,9152,114,36.05,0.15,1.87,0.012456294,2.102040816
17/02/2022,Trendy,22.32,4345,112,30.88,0.2,5.14,0.025776755,1.383512545
16/02/2022,Trendy,32.89,10580,105,58.07,0.31,3.11,0.009924386,1.765582244
14/02/2022,Trendy,7.97,33804,164,17.25,0.05,0.24,0.004851497,2.164366374
13/02/2022,Trendy,37.16,23426,57,89.88,0.65,1.59,0.002433194,2.418729817
12/02/2022,Trendy,8.06,9780,197,19.08,0.04,0.82,0.020143149,2.367245658
11/02/2022,Trendy,26.99,6987,129,54.54,0.21,3.86,0.01846286,2.020748425
09/02/2022,Trendy,14.25,16773,63,33.05,0.23,0.85,0.003756036,2.319298246
08/02/2022,Trendy,6.99,27130,102,12.86,0.07,0.26,0.003759676,1.839771102
07/02/2022,Trendy,16.02,20425,174,29.99,0.09,0.78,0.008518972,1.872034956
06/02/2022,Trendy,5.78,11941,66,9.17,0.09,0.48,0.005527175,1.58650519
05/02/2022,Trendy,17.75,9732,71,34.26,0.25,1.82,0.00729552,1.930140845
04/02/2022,Trendy,9.9,14389,27,20.81,0.37,0.69,0.001876433,2.102020202
03/02/2022,Trendy,5.44,15077,95,9.71,0.06,0.36,0.006300988,1.784926471
02/02/2022,Trendy,8.13,5202,23,11.9,0.35,1.56,0.004421376,1.463714637
31/01/2022,Trendy,16.93,19554,80,33.83,0.21,0.87,0.004091235,1.998227998
30/01/2022,Trendy,9.98,6179,93,19.84,0.11,1.62,0.015050979,1.987975952
29/01/2022,Trendy,18.04,15815,22,24.77,0.82,1.14,0.001391084,1.373059867
28/01/2022,Trendy,19.27,4607,147,28.77,0.13,4.18,0.031907966,1.492994292
27/01/2022,Trendy,4.5,5092,66,5.91,0.07,0.88,0.012961508,1.313333333
26/01/2022,Trendy,21.58,9485,104,23.54,0.21,2.28,0.010964681,1.090824838
25/01/2022,Trendy,15.91,4220,53,31.49,0.3,3.77,0.012559242,1.979258328
20/01/2022,Trendy,0,0,0,0,,,,
19/01/2022,Trendy,0,0,0,0,,,,
18/01/2022,Trendy,0,0,0,0,,,,
17/01/2022,Trendy,17.58,3215,96,35.35,0.18,5.47,0.029860031,2.010807736
16/01/2022,Trendy,35.11,26504,79,84.19,0.44,1.32,0.002980682,2.397892338
15/01/2022,Trendy,29.34,13238,55,56.89,0.53,2.22,0.004154706,1.938991138
14/01/2022,Trendy,18.94,9045,168,37.38,0.11,2.09,0.018573798,1.973600845
13/01/2022,Trendy,7.11,31288,119,8.11,0.06,0.23,0.003803375,1.140646976
12/01/2022,Trendy,8.38,16934,106,9.18,0.08,0.49,0.006259596,1.095465394
11/01/2022,Trendy,11.46,32720,32,28.5,0.36,0.35,0.000977995,2.486910995
10/01/2022,Trendy,6.85,17826,151,9,0.05,0.38,0.008470773,1.313868613
09/01/2022,Trendy,28.5,32217,383,58.73,0.07,0.88,0.011888134,2.060701754
08/01/2022,Trendy,22.63,12824,220,53.32,0.1,1.76,0.017155334,2.356164384
07/01/2022,Trendy,28.91,41669,224,71.02,0.13,0.69,0.005375699,2.456589415
06/01/2022,Trendy,38,26336,206,87.35,0.18,1.44,0.007821993,2.298684211
05/01/2022,Wholesale,0,0,0,0,,,,
04/01/2022,Trendy,9.64,30504,100,21.17,0.1,0.32,0.003278259,2.196058091
04/01/2022,Wholesale,0,0,0,0,,,,
03/01/2022,Lookalike,0,0,0,0,,,,
03/01/2022,Trendy,32.01,44784,306,54.1,0.1,0.71,0.006832797,1.690096845
03/01/2022,Wholesale,0,0,0,0,,,,
02/01/2022,Lookalike,0,0,0,0,,,,
02/01/2022,Trendy,29.88,8208,140,54.38,0.21,3.64,0.01705653,1.819946452
02/01/2022,Wholesale,0,0,0,0,,,,
01/01/2022,Lookalike,0,0,0,0,,,,
01/01/2022,Trendy,16.48,52074,260,28.42,0.06,0.32,0.004992895,1.724514563
01/01/2022,Wholesale,0,0,0,0,,,,
31/12/2021,Lookalike,143.19,24699,194,138.86,0.74,5.8,0.007854569,0.969760458
31/12/2021,Trendy,8.82,25345,63,16.32,0.14,0.35,0.002485697,1.850340136
31/12/2021,Wholesale,21.37,6705,24,27.93,0.89,3.19,0.003579418,1.306972391
30/12/2021,Lookalike,227.56,44527,897,243.02,0.25,5.11,0.020145081,1.067938126
30/12/2021,Trendy,31.92,8833,58,63.67,0.55,3.61,0.006566286,1.994674185
30/12/2021,Wholesale,26.19,10811,29,23.57,0.9,2.42,0.002682453,0.899961817
29/12/2021,Lookalike,86.7,12408,293,72.28,0.3,6.99,0.023613798,0.833679354
29/12/2021,Trendy,15.75,7088,91,28.07,0.17,2.22,0.0128386,1.782222222
29/12/2021,Wholesale,60.8,12794,51,71.41,1.19,4.75,0.003986244,1.174506579
28/12/2021,Lookalike,283.48,69020,396,343.9,0.72,4.11,0.005737467,1.213136729
28/12/2021,Trendy,27.16,17016,52,48.43,0.52,1.6,0.003055947,1.783136966
28/12/2021,Wholesale,49.19,15752,51,58.14,0.96,3.12,0.003237684,1.18194755
27/12/2021,Lookalike,441.13,87664,389,641.71,1.13,5.03,0.004437397,1.454695895
27/12/2021,Trendy,8.64,5555,78,15.04,0.11,1.56,0.014041404,1.740740741
27/12/2021,Wholesale,28.54,10506,37,29.72,0.77,2.72,0.003521797,1.04134548
26/12/2021,Lookalike,159.5,68495,465,252.82,0.34,2.33,0.006788817,1.58507837
26/12/2021,Trendy,20.15,4658,82,44.89,0.25,4.33,0.017604122,2.227791563
26/12/2021,Wholesale,64.46,12536,55,79.63,1.17,5.14,0.004387364,1.235339746
25/12/2021,Lookalike,332.36,49734,197,443.25,1.69,6.68,0.003961073,1.333644241
25/12/2021,Trendy,22.16,2976,81,28.76,0.27,7.45,0.027217742,1.297833935
25/12/2021,Wholesale,58.88,16966,45,63.82,1.31,3.47,0.002652364,1.083899457
24/12/2021,Lookalike,220.21,43839,765,290.41,0.29,5.02,0.017450216,1.318786613
24/12/2021,Trendy,20.31,7386,30,40.45,0.68,2.75,0.004061738,1.991629739
24/12/2021,Wholesale,51.91,9974,41,78.11,1.27,5.2,0.004110688,1.504719707
23/12/2021,Lookalike,363.06,64241,341,450.1,1.06,5.65,0.005308137,1.239739988
23/12/2021,Trendy,15.61,10593,62,24.22,0.25,1.47,0.005852922,1.551569507
23/12/2021,Wholesale,28.13,4979,26,31.32,1.08,5.65,0.005221932,1.113402062
22/12/2021,Lookalike,149.72,70234,747,131.85,0.2,2.13,0.010635874,0.880643869
22/12/2021,Trendy,21.25,10360,38,36.9,0.56,2.05,0.003667954,1.736470588
22/12/2021,Wholesale,37.32,9026,38,40.96,0.98,4.13,0.00421006,1.097534834
21/12/2021,Lookalike,467.77,89480,316,524.09,1.48,5.23,0.003531515,1.120401052
21/12/2021,Trendy,24.89,9303,21,40.35,1.19,2.68,0.002257336,1.621132985
21/12/2021,Wholesale,36.65,4561,61,39.06,0.6,8.04,0.01337426,1.065757162
20/12/2021,Lookalike,411.07,90974,716,478.22,0.57,4.52,0.007870381,1.163354173
20/12/2021,Wholesale,45.77,5164,27,62.95,1.7,8.86,0.005228505,1.375355036
19/12/2021,Lookalike,146.78,133537,602,188.68,0.24,1.1,0.004508114,1.285461235
19/12/2021,Trendy,109.5,18651,198,259.39,0.55,5.87,0.010616053,2.368858447
19/12/2021,Wholesale,67.21,11220,23,82.26,2.92,5.99,0.002049911,1.223925011
18/12/2021,Lookalike,247.13,86624,574,317.9,0.43,2.85,0.006626339,1.286367499
